user|tweet|created_at
midopon0728|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:53:53+00:00
gus_ramirezfc|“You saved Hollywood’s ass … seriously … ‘Maverick’ might’ve saved the entire theatrical industry”  — Steven Spielberg to Tom Cruise   #Oscars https://t.co/jfYGzr3DdU|2023-02-15 00:53:50+00:00
fher4613|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:53:46+00:00
sachin__sam|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:53:45+00:00
yukiamagurisuki|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:53:29+00:00
DamianHoffman|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:53:25+00:00
LSTA_Linfer_en|🎬 Nominees for the 95th # Oscars were celebrated at a luncheon in /Beverly Hills/L(34.1N,118.4W) , /California/L(37.3N,119.8W)... https://t.co/ZLekCd0D9z https://t.co/xVhGzEGFFp|2023-02-15 00:53:16+00:00
BatmanDamnit|For a group that claims "Marginalized" &amp; "Oppressed" I can't find any other race with their own Self-Segregated Everything: Also Included: BET, Black Caucus, UNCF, Black Oscars, Grammy's and now Black National Anthem. It's time to call the #RaceConGame Out! #BlackSuperiority https://t.co/yLiKI7Bq70|2023-02-15 00:52:51+00:00
Laura_Mason94|Managed a quick chat with very in-demand @TomCruise at the #OscarsLuncheon and my wonderful @AFPphoto colleague Valerie Macon immediately started snapping away :)  Fun times @TheAcademy - story here: https://t.co/C04fjIAlMy https://t.co/fdsonHSo2V|2023-02-15 00:52:49+00:00
gus_ramirezfc|#NowWatching  1st viewing  watching this so i can watch top gun maverick for the oscars https://t.co/n2NLsAdWjO|2023-02-15 00:52:44+00:00
se7enpsychos|@irlrubysparks edward norton? you know these people are meant to be WINNING the oscars right?|2023-02-15 00:52:39+00:00
datronmad12|#HODL even the #Oscars know 🚀 💖 Like if you agree|2023-02-15 00:52:32+00:00
juanparza|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:52:32+00:00
MendezMovieRPT|Over the next few weeks the major guilds &amp; BAFTA/HCA will announce winners as we hit the home stretch to the Oscars.  For @ordinarytimemag I looked at some key trends &amp; potential paths to see how much of a chance each Best Picture contender had:  https://t.co/P2xSjGtyH3|2023-02-15 00:52:29+00:00
meredit71840781|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:52:27+00:00
BerubeClair|@jimmykimmel @JimmyKimmelLive @TheAcademy @ChasParnell @BillyCrystal Hey Oscars:  If Austin Butler came out as Elvis and sang Polk Salad Annie or Suspicious Minds the place would go nuts. AND THEN afterwards a voice comes over the announcements: "Ladies and Gentlemen - Elvis has left the building".|2023-02-15 00:52:18+00:00
ahershbe|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:52:13+00:00
gowri_gal|On the Cover: #TomCruise (@TomCruise) #TopGunMaverick #Oscars   via @khaleejtimes 🇦🇪🌎 https://t.co/EXNr3XupVC|2023-02-15 00:52:02+00:00
beingabookwyrm|Sometimes I wonder if nostalgia is clouding my memory of just how big Disney Channel was during my childhood until I remember Vanessa and Zac were invited to sing at the Oscars off the strength of HSM fame|2023-02-15 00:51:50+00:00
GoldringI|THE SILENCE OF THE LAMBS was released on this day 1991. It went on to make history by being one of only three films to win Best Picture, Director, Actor, Actress and Screenplay at the Oscars. https://t.co/4c7ViJdVIl|2023-02-15 00:51:32+00:00
ItsOscarVasquez|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:51:24+00:00
Liveryoshi|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:51:15+00:00
Laura_Mason94|Steven Spielberg said Tom Cruise saved moviegoing and now the Oscars are hoping that Tom Cruise can save the Oscars https://t.co/XuN4AGp5fY|2023-02-15 00:51:13+00:00
daitaikueru|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:51:11+00:00
radicalcommie_|Sometimes I wonder if nostalgia is clouding my memory of just how big Disney Channel was during my childhood until I remember Vanessa and Zac were invited to sing at the Oscars off the strength of HSM fame|2023-02-15 00:51:10+00:00
IggyAmo|@kobcritic_ Unless something insane happens, the Golden Globes is going to beat the Oscars in every respect this year, which is insane to me.|2023-02-15 00:51:06+00:00
pvssydelray|Paul Mescal at the #Oscars luncheon https://t.co/hlZNnjgpWb|2023-02-15 00:50:48+00:00
nilolopez10|@TheNBACentral HE ALSO DESERVES an OSCARS LIKE LEBRON hahaha|2023-02-15 00:50:45+00:00
MxStxrl15|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:50:43+00:00
morgankaterose|Sometimes I wonder if nostalgia is clouding my memory of just how big Disney Channel was during my childhood until I remember Vanessa and Zac were invited to sing at the Oscars off the strength of HSM fame|2023-02-15 00:50:43+00:00
MetroCOLA|Jada Pinkett Smith Talks Alopecia Journey Since Will’s Oscars Slap – https://t.co/Rf51IA4LDL|2023-02-15 00:50:10+00:00
shino_seven|Now I want Steve Harvey to host the oscars. https://t.co/WAZVho3NJJ|2023-02-15 00:50:04+00:00
Sachi315_|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:49:45+00:00
babiesath_b|“You saved Hollywood’s ass … seriously … ‘Maverick’ might’ve saved the entire theatrical industry”  — Steven Spielberg to Tom Cruise   #Oscars https://t.co/jfYGzr3DdU|2023-02-15 00:49:33+00:00
TJ17776|Stop hating the Nuggets it's crazy they're this good despite   No Dunk Contest No Rising Stars Challenge No Celebrity Game No ESPYS hosts No SNL hosts No Pro Bowlers No Oscars No Fortune 100s https://t.co/ryXyNO3fuT|2023-02-15 00:49:29+00:00
MooseAnarchy|Sometimes I wonder if nostalgia is clouding my memory of just how big Disney Channel was during my childhood until I remember Vanessa and Zac were invited to sing at the Oscars off the strength of HSM fame|2023-02-15 00:49:22+00:00
hiomiw|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:49:21+00:00
iin_sulastri1|Tonight, give what you can 👉 https://t.co/iEUh6GQ4oP  We'll match your donation and deliver humanitarian aid to people affected by the crisis in #Ukraine  https://t.co/d3RLPaCeT9 https://t.co/L9CESk2Csj|2023-02-15 00:48:55+00:00
pvssydelray|Best Actor nominee Paul Mescal at the #Oscars luncheon  https://t.co/CozyJVbvbB|2023-02-15 00:48:55+00:00
HeleanaRagnarok|🥺🥺🥺🥺 #rihanna #navy #Oscars #HalftimeShow?  Source: https://t.co/sS9m7At53R https://t.co/3ISQB65Oa9|2023-02-15 00:48:29+00:00
TimDayaChani|Ke Huy Quan, Angela Bassett, Tom Cruise, Brian Tyree Henry and Kerry Condon at the Oscars luncheon https://t.co/sISU2qCCcl|2023-02-15 00:48:25+00:00
IsThatBigD|Applause was strong for Michelle Yeoh, Jamie Lee Curtis, Austin Butler, Steven Spielberg, and more at the 2023 Oscar nominees luncheon — see their class photo.  https://t.co/yNSwBHave3|2023-02-15 00:48:03+00:00
raam_aarumugam|“You saved Hollywood’s ass … seriously … ‘Maverick’ might’ve saved the entire theatrical industry”  — Steven Spielberg to Tom Cruise   #Oscars https://t.co/jfYGzr3DdU|2023-02-15 00:47:59+00:00
TFerguson25|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:47:51+00:00
Peekuppo|Dolly de Leon wins Best Supporting Actress at the Swedish Oscars or the Guldbaggen Awards! Casting director Pauline Hansson receives the award on her behalf! #dollydeleon #guldbaggen #bestsupportingactress https://t.co/u2bHLCuYDo|2023-02-15 00:47:33+00:00
attuuuuu_8|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:47:30+00:00
L_no_ga|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:47:16+00:00
USSportsNew2021|Jimmy Kimmel gets his next assignment as Oscars host in Top Gun: Maverick sendup https://t.co/q10k56nfwd https://t.co/0Mu7uPEckF|2023-02-15 00:47:14+00:00
SamanthaHTown|Yep exactly what going to happen on #Oscars Night. 🙄 https://t.co/QTP7KnjyKo|2023-02-15 00:47:14+00:00
Billythese1|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:47:09+00:00
pvssydelray|Paul Mescal talks starring opposite Andrew Scott in Andrew Haigh’s ‘STRANGERS’:   “[Andrew] Scott is going to be– touch wood, from my watching on my end, that was beautiful. His performance was so good, just being beside him.”  https://t.co/7Al1PnBUqL https://t.co/8UXMPekQbZ|2023-02-15 00:47:04+00:00
NFB_Jennifer|🤩 We had a blast repping THE FLYING SAILOR with directors Amanda Forbis and Wendy Tilby at yesterday's @TheAcademy Nominees Luncheon!  📲 Follow us on #Instagram for more stories and highlights from the 95ᵗʰ #Oscars → https://t.co/t7VMHInYo5 https://t.co/XpXGIzI8uO|2023-02-15 00:46:59+00:00
Laura_Mason94|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:46:53+00:00
rtutching|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:46:45+00:00
johnexx45|The class photo for the 2023 #Oscars https://t.co/y4FcSCzl39|2023-02-15 00:46:44+00:00
PrinceStreetENT|🎬 Nominees for the 95th #Oscars were celebrated at a luncheon in Beverly Hills, California https://t.co/G4G6IyJuOJ|2023-02-15 00:46:40+00:00
toto_orihico|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:46:39+00:00
roygerdodger|With her win tonight, Viola Davis is the 3rd person ever to win the Triple Crown of Acting (Lead or Supporting Actress at the Oscars, Emmys &amp; Tonys) PLUS join the EGOT club. The other 2 to do it? Rita Moreno and Helen Hayes. Elite company. https://t.co/eNtiHVmdIa|2023-02-15 00:46:36+00:00
ChicagoVince|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:46:18+00:00
JoshTagalogBot|How to Start an Automation Agency According to Experts  #career #oscars #afol #supernin10con #fbimostwanted #sciencevalentine #georgiastate #incompetent #startrek #holbit #clemonsters #thestig #cocacola #starmeroids #bookdesign #investing https://t.co/dbfKVluR7U|2023-02-15 00:46:09+00:00
Sageof6turtles|Stop hating the Nuggets it's crazy they're this good despite   No Dunk Contest No Rising Stars Challenge No Celebrity Game No ESPYS hosts No SNL hosts No Pro Bowlers No Oscars No Fortune 100s https://t.co/ryXyNO3fuT|2023-02-15 00:46:02+00:00
cleonanic|See the Oscars class photo from the nominee luncheon here: https://t.co/rfbEQVCTpu|2023-02-15 00:46:00+00:00
tamagoohji0911|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:45:56+00:00
totLonden|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:45:43+00:00
SimpleSed|Trying to turn the Oscars into the BET awards|2023-02-15 00:45:36+00:00
Zackydoo3|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:45:21+00:00
MoodyForThree|Stop hating the Nuggets it's crazy they're this good despite   No Dunk Contest No Rising Stars Challenge No Celebrity Game No ESPYS hosts No SNL hosts No Pro Bowlers No Oscars No Fortune 100s https://t.co/ryXyNO3fuT|2023-02-15 00:45:16+00:00
kiki_500|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:45:06+00:00
Snofox6|For a group that claims "Marginalized" &amp; "Oppressed" I can't find any other race with their own Self-Segregated Everything: Also Included: BET, Black Caucus, UNCF, Black Oscars, Grammy's and now Black National Anthem. It's time to call the #RaceConGame Out! #BlackSuperiority https://t.co/yLiKI7Bq70|2023-02-15 00:45:04+00:00
jasonleo83|Jimmy Kimmel’s Oscars Trailer - Exclusive World Premiere  Read in detail 👇 https://t.co/ptoPjxjrJi   create new website @ $60 only 👉 https://t.co/6p4EfRZD6V https://t.co/xvSY3zUEmj|2023-02-15 00:45:03+00:00
tc_tcrz|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:44:55+00:00
Chiky823|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:44:41+00:00
xra00|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:44:39+00:00
AnthonyMione|#BirthdayCelebrantOfTheDay   Happy Birthday, Thelma Ritter!!   Although her film career only began when she was already in her mid-40s, Thelma was nominated for 6 Oscars for her film performances during the 1950s and 1960s. Her film roles include Rear Window and The Misfits. https://t.co/zSfWWcTFym|2023-02-15 00:44:31+00:00
jsconfcl|@jsconfcl "the Oscars of JavaScript" (?) 🤔  https://t.co/VPdvCyIqQm|2023-02-15 00:44:26+00:00
DaltonMeyer85|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:44:24+00:00
kobcritic_|the Oscars are lucky they have the best nominations lineup in years because the actual awards show is gonna suuuuuck https://t.co/lAUAAbxQ8j https://t.co/azkVnZ2vbt|2023-02-15 00:44:12+00:00
AAkhilmadala|Lyricist @boselyricist Garu with @TomCruise 🤯🔥❤️‍🔥.  #RRRMovie #TopGunMaverick #Oscars https://t.co/XGzjJt8Nhb|2023-02-15 00:43:47+00:00
GaleTheVO|@GaleTheVO Bradley Cooper is nominated for Oscars and had a child living with his mom. People outside of the USA don’t care so much. Only we Americans fuss and act oddly about living with grandpa or dad.|2023-02-15 00:43:35+00:00
masa_edana|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:43:31+00:00
tkcnfrl_topgun|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:43:29+00:00
MrNwiks|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:43:26+00:00
love_redmoon|Angela Bassett walks the carpet at the #Oscars  luncheon https://t.co/lmKFmCoQq3|2023-02-15 00:43:25+00:00
kento_jasmine|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:43:24+00:00
fycitapp|The rom-com list you didn’t know you needed for all your feels this Valentine’s and beyond. ❤️ 🌹 💔  https://t.co/CohjRqxMPj|2023-02-15 00:43:23+00:00
dallasleebridge|Over a century after the White House screened the racist, pro-KKK movie "Birth of a Nation," this year's White House screening of "Till" shows just how far we've come and how far we still have to go. https://t.co/0ArogTmk6g|2023-02-15 00:43:22+00:00
Austin0497|Karla Otto highlighted JISOO's power which contributed over 63% to #DiorCouture EMV.   "Dior guest-list is like the Oscars of Couture. Amongst the latter, #JISOO once again comes out on top; her appearance at Dior generated more visibility..." https://t.co/A4SYiFliON #지수 https://t.co/Sb72286pWr|2023-02-15 00:43:21+00:00
littleblurbird|tom cruise will forever be more relevant than the oscars 🙏 https://t.co/M3X8oHRylD|2023-02-15 00:43:15+00:00
BussellSamuel|This was great!! #Oscars https://t.co/Al92quWB0p|2023-02-15 00:43:08+00:00
natuko_550|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:43:04+00:00
masha_kezia|THE SILENCE OF THE LAMBS was released on this day 1991. It went on to make history by being one of only three films to win Best Picture, Director, Actor, Actress and Screenplay at the Oscars. https://t.co/4c7ViJdVIl|2023-02-15 00:43:02+00:00
GeekyNICKDOLL|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:42:53+00:00
BNezamoodeen|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:42:44+00:00
YoshanJayasing1|Jimmy Kimmel takes on the mission to host the #Oscars in the first teaser for the show.  The teaser also features Jon Hamm and Charles Parnell reprising their roles from ‘Top Gun: Maverick’. https://t.co/OmC9U1lvk6|2023-02-15 00:42:36+00:00
joana_lozano04|Last weekend, #Binance received the "Most Innovative Blockchain Provider of the Year" award at the 2022 Ghana Information Technology and Telecom Awards.  GITTA is the 'Oscars' of the ICT &amp; telecom industry in Ghana, attended by government institutions, business leaders, and more! https://t.co/xNL9tr08n1|2023-02-15 00:42:31+00:00
tc070362|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:42:24+00:00
tomandlorenzo|Do you need to see pictures of #EverythingEverywhereAllAtOnce star Michelle Yeoh looking flawless in an unusual Chanel suit at the #OscarsLuncheon right now? We don't claim to know your life, but we think you do. https://t.co/wKgBP01IFW|2023-02-15 00:42:21+00:00
HipHopWired|The president of the body responsible for the #Oscars recently said that its response to #WillSmith’s slapping of #ChrisRock last year was sub-par. https://t.co/cc7OMtVyue|2023-02-15 00:42:00+00:00
secsmnky83|#NowWatching Elvis! This is not only a amazing film but @austinbutler goes for it, hard! He better win the Oscar! He's brilliant and the best of the year! ❤️‍🔥⚡  #Elvis #ElvisMovie #ElvisPresley #ElvisFan #TCB #AustinButler #Oscars #OscarNoms https://t.co/rcOgi2g6N8|2023-02-15 00:41:59+00:00
JenniferToope|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:41:59+00:00
359Starlord|The mission: The Oscars. The host: me? Yes, me.    #Oscars95 @TheAcademy #JonHamm @ChasParnell @BillyCrystal https://t.co/PHIgGdVLs0|2023-02-15 00:41:44+00:00
